State_Name,Crop_Type,Crop,rainfall,temperature,Area_in_hectares,Production_in_tons,Yield_ton_per_hec,N,P,K,pH
andhra pradesh,rabi,Rice,288.3,25.46,37489.0,76800.0,2.048600922937395,80.0,40.0,40.0,5.58
andhra pradesh,kharif,Ragi,654.34,29.26666666666667,430.0,448.0,1.041860465116279,50.0,40.0,20.0,5.44
andhra pradesh,rabi,Mung beans,288.3,25.46,60.0,20.0,0.3333333333333333,20.0,40.0,20.0,5.68
andhra pradesh,kharif,Sunflower,654.34,29.26666666666667,50879.0,38011.0,0.7470862241789343,50.0,60.0,30.0,5.44
andhra pradesh,whole year,Sunflower,1037.32,28.081818181818186,2118.0,1721.0,0.8125590179414542,50.0,60.0,30.0,5.4
andhra pradesh,rabi,Ragi,288.3,25.46,868.0,1961.0,2.259216589861752,50.0,40.0,20.0,5.5
andhra pradesh,rabi,Mung beans,288.3,25.46,1975.0,602.0,0.3048101265822784,20.0,40.0,20.0,5.68
andhra pradesh,kharif,Jowar,654.34,29.26666666666667,20905.0,87801.0,4.2,80.0,40.0,40.0,5.46
andhra pradesh,rabi,Mung beans,288.3,25.46,3056.0,1329.0,0.4348821989528796,20.0,40.0,20.0,5.5
andhra pradesh,rabi,Horse-gram,288.3,25.46,2000.0,600.0,0.3,20.0,60.0,20.0,6.04
andhra pradesh,rabi,Mung beans,288.3,25.46,2900.0,2100.0,0.7241379310344828,20.0,40.0,20.0,5.64
andhra pradesh,rabi,Rice,288.3,25.46,80000.0,287000.0,3.5875,80.0,40.0,40.0,5.6
andhra pradesh,whole year,Bottle Gourd,1037.32,28.081818181818186,116.0,0.0,0.0,100.0,50.0,50.0,6.52
andhra pradesh,whole year,Coriander,1037.32,28.081818181818186,35.0,26.0,0.7428571428571429,90.0,20.0,20.0,6.54
andhra pradesh,rabi,Sunflower,288.3,25.46,46189.0,34780.0,0.7529931368940657,50.0,60.0,30.0,5.52
andhra pradesh,kharif,Maize,654.34,29.26666666666667,21.0,60.0,2.857142857142857,80.0,40.0,20.0,5.58
andhra pradesh,kharif,Horse-gram,654.34,29.26666666666667,649.0,60.0,0.0924499229583975,20.0,60.0,20.0,5.96
andhra pradesh,rabi,Masoor,288.3,25.46,522.0,144.0,0.2758620689655172,20.0,60.0,20.0,5.54
andhra pradesh,rabi,Rice,288.3,25.46,2370.0,3979.0,1.678902953586498,80.0,40.0,40.0,5.38
andhra pradesh,whole year,Cashewnut,1037.32,28.081818181818186,42195.0,6854.0,0.1624363076193861,70.0,40.0,60.0,5.84
andhra pradesh,kharif,Sunflower,654.34,29.26666666666667,1000.0,895.0,0.895,50.0,60.0,30.0,5.5
andhra pradesh,kharif,Maize,654.34,29.26666666666667,100.0,300.0,3.0,80.0,40.0,20.0,5.58
andhra pradesh,rabi,Pigeon peas(Toor Dal),288.3,25.46,200.0,100.0,0.5,20.0,60.0,20.0,5.38
andhra pradesh,rabi,Black Gram,288.3,25.46,48368.0,12624.0,0.2609990076083361,40.0,60.0,20.0,4.9
andhra pradesh,rabi,Mung beans,288.3,25.46,40.0,12.0,0.3,20.0,40.0,20.0,5.48
andhra pradesh,kharif,Mung beans,654.34,29.26666666666667,101.0,45.0,0.4455445544554455,20.0,40.0,20.0,5.44
andhra pradesh,rabi,Sunflower,288.3,25.46,2000.0,3000.0,1.5,50.0,60.0,30.0,5.4
andhra pradesh,rabi,Ragi,288.3,25.46,1580.0,3182.0,2.0139240506329115,50.0,40.0,20.0,5.44
andhra pradesh,kharif,Pigeon peas(Toor Dal),654.34,29.26666666666667,1861.0,953.0,0.5120902740462118,20.0,60.0,20.0,5.66
andhra pradesh,whole year,Cucumber,1037.32,28.081818181818186,681.0,0.0,0.0,60.0,60.0,85.0,6.34
andhra pradesh,kharif,Maize,654.34,29.26666666666667,742.0,1273.0,1.715633423180593,80.0,40.0,20.0,5.38
andhra pradesh,rabi,Gram,288.3,25.46,51461.0,15438.0,0.2999941703425895,20.0,60.0,20.0,6.1
andhra pradesh,rabi,Jowar,288.3,25.46,12501.0,6951.0,0.5560355171586273,80.0,40.0,40.0,5.56
andhra pradesh,kharif,Sunflower,654.34,29.26666666666667,76.0,84.0,1.105263157894737,50.0,60.0,30.0,5.46
andhra pradesh,kharif,Mung beans,654.34,29.26666666666667,1749.0,1212.0,0.692967409948542,20.0,40.0,20.0,5.68
andhra pradesh,rabi,Rice,288.3,25.46,10826.0,25463.0,2.3520229078145207,80.0,40.0,40.0,5.42
andhra pradesh,rabi,Mung beans,288.3,25.46,2381.0,979.0,0.4111717765644687,20.0,40.0,20.0,5.54
andhra pradesh,kharif,Horse-gram,654.34,29.26666666666667,325.0,140.0,0.4307692307692308,20.0,60.0,20.0,5.86
